id,name,address,town,zip,phone,email,email_type,website,linkedin,rubric,lat,lng,averageNote,maxNote,nbReviews,linkedinFname,linkedinLname,linkedinHeadline,linkedinCompany,linkedinPhoto,linkedinConnections,linkedinCheck
"50adb64384ae2742a004dd47","Black Scan","4 r Motte","Vern sur Seiche","35770","02 99 32 15 95","dominique@blackscan.com","pro","-","-","Imprimerie et travaux graphiques",48.059579,-1.603796,1,5,1,"-","-","-","-","-","-","-"
"50ad34ed84ae7287a21cbbc0","Graphie Couleurs SARL","16 r Leuzieres","Saint Erblon","35230","02 99 86 98 98","graphie@graphie-couleurs.com","pro","http://www.graphie-couleurs.com","-","Imprimerie et travaux graphiques",48.024207,-1.654542,5,5,1,"-","-","-","-","-","-","-"
"5beb1e4f0351d130e656715e","Ocopa Emballage","av Orgerblon","Orgères","35230","02 99 14 81 33","c.astic@astic-emballage.com","pro","http://www.ocopa-emballage.com","-","Imprimerie et travaux graphiques",48.012790629,-1.664021259,"-","-","-","-","-","-","-","-","-","-"
"5503ce21e4b0bb736374fbf1","4B Numérique","26 r Passavent","Vern sur Seiche","35770","02 30 96 32 72","4bnumerique@4bpackaging.fr","pro","http://www.4bpackaging.fr","-","Imprimerie et travaux graphiques",48.061303,-1.62407,"-","-","-","-","-","-","-","-","-","-"
"50acecec84ae9c6b733ffb80","Kala","L'Écotay","Nouvoitou","35410","02 99 37 64 64","-","-","http://www.kala.fr","-","Imprimerie et travaux graphiques",48.040122641,-1.536222273,"-","-","-","-","-","-","-","-","-","-"
"673ffe1b9c29834d26ffde26","Apcv","21 Rue de Bel-Air","Janzé","35150","02 99 47 78 09","-","-","-","-","Imprimerie et travaux graphiques",47.95537174,-1.502956234,"-","-","-","-","-","-","-","-","-","-"
"50acd79084aec628abe6c259","Imprimerie du Rimon SAS","11 r Bintinais","Noyal Châtillon sur Seiche","35230","02 99 53 85 54","devis.imp.du.rimon@wanadoo.fr","non-pro","http://www.imprimeur-rennes.fr","-","Imprimerie et travaux graphiques",48.076812606,-1.663096514,"-","-","-","-","-","-","-","-","-","-"
"5beb19e40351d130e6566939","Identic","r Carrière","Cesson Sévigné","35510","02 99 26 10 10","contact@identic.com","pro","http://www.identic.com","-","Imprimerie et travaux graphiques",48.109166,-1.61371,5,5,2,"-","-","-","-","-","-","-"
"5f5ab41c3fd32a3a430fc2f6","Publicité Concept","17 Avenue de Ouessant","Bruz","35170","09 53 44 79 12","publiciteconcept@orange.fr","non-pro","-","-","Imprimerie et travaux graphiques",48.02497473,-1.765225732,5,5,3,"-","-","-","-","-","-","-"
"5532d74ae4b004f8a2d47097","Zebratex","10 r Fernand Forest","Ploërmel","56800","02 97 70 18 63","contact@zebratex.fr","pro","http://www.zebratex.fr","-","Imprimerie et travaux graphiques",47.930997,-2.379651,4,5,2,"-","-","-","-","-","-","-"
"4f43a94ee4b0d09889009203","ARTEK Dynadoc - RapidoPub","28 r Erbonière","Cesson Sévigné","35510","02 99 32 08 32","services@artekrepro.fr","pro","https://www.artekrepro.fr","-","Imprimerie et travaux graphiques",48.103129,-1.624394,5,5,8,"-","-","-","-","-","-","-"
"5d87ffb054c4c060f39df5bd","Copyroom","22 r St Melaine","Rennes","35000","02 99 63 40 29","-","-","https://copyroom.fr/","-","Imprimerie et travaux graphiques",48.114821,-1.677117,1,5,3,"-","-","-","-","-","-","-"
"533fe0afe4b095142b455571","Emroad","19 r Bas Village","Cesson Sévigné","35510","06 52 64 07 82","contact@emroad.com","pro","https://www.emroad.com","-","Imprimerie et travaux graphiques",48.102582,-1.62493,5,5,7,"-","-","-","-","-","-","-"
"659b04fe6f66912a1478eb08","Kennedy photocopie","12 crs Kennedy","Rennes","35000","02 99 59 44 02","contact@kcopy.fr","pro","-","-","Imprimerie et travaux graphiques",48.121339,-1.70685,5,5,10,"-","-","-","-","-","-","-"
"61989b6caf5a8508c864ec83","Signarama Rennes","Rue de Melesse","Montreuil-le-Gast","35520","02 99 45 00 70","rennes.nord@signarama.fr","pro","https://www.signarama-rennes.fr","-","Imprimerie et travaux graphiques",48.245357047,-1.719548538,5,5,1,"-","-","-","-","-","-","-"
"54f6b48fe4b0abbe9ecd50ba","3d Imprime, impression 3D","26 r Antrain","Rennes","35700","09 52 61 23 60","contact@3dimprime.fr","pro","http://www.3dimprime.fr","-","Imprimerie et travaux graphiques",48.115493,-1.678887,5,5,2,"-","-","-","-","-","-","-"
"50acd7ed84aec628abe6c4c2","Arc-en-Ciel Imprimeurs SARL","2 Rue Théodore Levannier","Lécousse","35133","02 99 94 25 26","c.travers@labbe.fr","pro","http://imprimerielabbesarl.site-solocal.com","-","Imprimerie et travaux graphiques",48.362257004,-1.229756256,"-","-","-","-","-","-","-","-","-","-"
"50b0c36884ae8e854511ec7b","Rouaud Studio","3 Rue Haute","Val-d'Izé","35450","07 80 99 97 69","contact@rouaudstudio.fr","pro","http://www.rouaudstudio.fr","-","Imprimerie et travaux graphiques",48.181049865,-1.316351907,"-","-","-","-","-","-","-","-","-","-"
"50acd79384aec628abe6c276","Imprimerie Régnier","2 r Chalotais","Chantepie","35135","02 99 41 48 73","imprimerie.regnier@wanadoo.fr","non-pro","http://imprimerie-regnier.e-monsite.com","-","Imprimerie et travaux graphiques",48.085307818,-1.622936706,"-","-","-","-","-","-","-","-","-","-"
"60817afb8f932b63093efa64","Imprimerie Garlan","98 bd Edmond Roussin","Fougères","35300","02 99 99 53 06","imprimerie.garlan@gmail.com","non-pro","-","-","Imprimerie et travaux graphiques",48.345271,-1.194259,"-","-","-","-","-","-","-","-","-","-"
"50ae6a4f84ae27795074bd85","Publi 7","8 r Briqueterie","Vitré","35500","02 99 75 31 03","contact@publi7.fr","pro","-","-","Imprimerie et travaux graphiques",48.109396448,-1.210326194,"-","-","-","-","-","-","-","-","-","-"
"50ad354384ae7287a21cbea1","Recto Verso","8 Rue d'Ouessant","Saint-Grégoire","35760","02 99 68 77 22","contact@rectoverso35.fr","pro","http://www.rectoverso35.fr","-","Imprimerie et travaux graphiques",48.159530451,-1.690784971,"-","-","-","-","-","-","-","-","-","-"
"5dd7769854c4c0764a00894f","Dyfuz","15 r Loges","Chantepie","35135","02 99 41 62 92","dyfuz@orange.fr","non-pro","-","-","Imprimerie et travaux graphiques",48.088187104,-1.624463132,"-","-","-","-","-","-","-","-","-","-"
"50ad4e1384ae94e005840759","Imprimerie Pierre","av Gén de Gaulle","Guer","56380","02 97 22 01 23","imprimeriepierre@wanadoo.fr","non-pro","http://imprimeriepierre.site-solocal.com","-","Imprimerie et travaux graphiques",47.908258,-2.114974,"-","-","-","-","-","-","-","-","-","-"
"50b16b8e84ae79bfdb40650a","Lamifilm","r Courtil du Vivier","Melesse","35520","02 99 66 57 11","comptawalcorp@orange.fr","non-pro","http://www.lamifilm.com","-","Imprimerie et travaux graphiques",48.187770236,-1.723170495,"-","-","-","-","-","-","-","-","-","-"
"50af392584ae4c8cdadafd0d","Armenia Graphic","3 pl Verdun","Pipriac","35550","02 99 41 80 66","contact@armeniagraphic.fr","pro","-","-","Imprimerie et travaux graphiques",47.808492246,-1.946287689,"-","-","-","-","-","-","-","-","-","-"
"644cd6b12c91114641f418d1","Hirundo Fab","16 r Tisserands","Montauban de Bretagne","35360","07 87 69 55 05","contact@hirundofab.fr","pro","-","-","Imprimerie et travaux graphiques",48.195654994,-2.030528756,"-","-","-","-","-","-","-","-","-","-"
"50ad326984ae7287a21ca7a4","Kartenn","10 Rue des Aulnes","Saint-Gilles","35590","02 99 64 68 54","contact@kartenn.eu","pro","-","-","Imprimerie et travaux graphiques",48.156082488,-1.820463715,"-","-","-","-","-","-","-","-","-","-"
"50ad055d84aea0f519fe562d","Le Colibri Imprimeur","17 r Oseraie","Cesson Sévigné","35510","02 23 35 50 51","contact@imp-colibri.fr","pro","https://colibri-imprimeur.fr/","-","Imprimerie et travaux graphiques",48.104616,-1.624968,"-","-","-","-","-","-","-","-","-","-"
"50ad852f84aee0e51f5753f3","Ipo Imprimerie","8 b Rue Édouard Branly","Bruz","35170","02 99 52 60 23","imp.ipo@wanadoo.fr","non-pro","http://www.imprimerie-ipo-rennes.fr/","-","Imprimerie et travaux graphiques",48.035760993,-1.725450169,"-","-","-","-","-","-","-","-","-","-"
"50ad356b84ae7287a21cbfd2","Bourgeois Publicité","all Cerisaie","Saint Grégoire","35760","02 99 63 44 13","bourgeois-publicite@wanadoo.fr","non-pro","-","-","Imprimerie et travaux graphiques",48.138179,-1.69014,"-","-","-","-","-","-","-","-","-","-"
